,error_ractions,error_info
183,>>c1(nn(c2ccc(F)cc2)cc1SC3CCCCC3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
184,>>c1(nn(c2ccccc2F)cc1Sc3ccc(OC)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
185,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(OC)cc3)c4cnc(C(C)=O)cn4,Ignored this reaction
186,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(OC)cc3)c4cnc(C(C)O)cn4,Ignored this reaction
187,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(C)(C)O)cn4,Ignored this reaction
188,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(C#N)cn4,Ignored this reaction
189,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cn4,Ignored this reaction
190,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4cncc(C(C)(C)O)c4,Ignored this reaction
191,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4cncc(C(C)(C)O)c4,Ignored this reaction
192,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(C#N)cn4,Ignored this reaction
193,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(NC(C)=O)nc4,Ignored this reaction
194,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(C)=O)cn4,Ignored this reaction
195,>>c1(nn(c2ccccn2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cn4,Ignored this reaction
196,>>c1(n[nH]cc1Sc2ccc(Cl)cc2)c3onc(C(=O)OCC)c3,Ignored this reaction
197,>>c1(nn(CC2CC2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
